Type,label,template_seq
0,Replica immediately deleted,"[E5,E5,E5,E22,E11,E9,E11,E9,E11,E9,E26,E26,E26,E25,E18,E5,E16,E6,E26,E26,E21,E23,E23,E23,E21,E21,E21]"
0,Replica immediately deleted,"[E5,E5,E5,E22,E11,E9,E11,E9,E11,E9,E26,E26,E26,E25,E18,E5,E6,E16,E26,E26,E21,E23,E23,E23,E21,E21,E21]"
0,Replica immediately deleted,"[E5,E5,E5,E22,E11,E9,E11,E9,E11,E9,E26,E26,E25,E18,E5,E6,E16,E26,E26,E23,E23,E23,E23,E21,E21,E21,E21]"
0,Replica immediately deleted,"[E5,E22,E5,E5,E11,E9,E11,E9,E11,E9,E26,E26,E26,E25,E18,E5,E16,E6,E26,E26,E21,E23,E23,E23,E21,E21,E21]"
0,Replica immediately deleted,"[E5,E5,E5,E22,E11,E9,E11,E9,E11,E9,E26,E26,E25,E18,E5,E16,E6,E26,E26,E23,E23,E23,E23,E21,E21,E21,E21]"
0,Replica immediately deleted,"[E5,E22,E5,E5,E11,E9,E11,E9,E11,E9,E26,E26,E26,E25,E18,E5,E6,E16,E26,E26,E21,E23,E23,E23,E21,E21,E21]"
0,Replica immediately deleted,"[E5,E5,E22,E5,E11,E9,E11,E9,E11,E9,E26,E26,E26,E25,E18,E5,E16,E6,E26,E26,E21,E23,E23,E23,E21,E21,E21]"
0,Replica immediately deleted,"[E5,E5,E22,E5,E11,E9,E11,E9,E11,E9,E26,E26,E26,E25,E18,E5,E6,E16,E26,E26,E21,E23,E23,E23,E21,E21,E21]"
0,Replica immediately deleted,"[E5,E5,E5,E22,E11,E9,E11,E9,E11,E9,E26,E26,E25,E5,E18,E16,E6,E26,E26,E23,E23,E23,E23,E21,E21,E21,E21]"
0,Replica immediately deleted,"[E5,E5,E5,E22,E11,E9,E11,E9,E11,E9,E26,E26,E25,E5,E18,E6,E16,E26,E26,E23,E23,E23,E23,E21,E21,E21,E21]"
0,Replica immediately deleted,"[E5,E5,E5,E22,E11,E9,E11,E9,E11,E9,E26,E26,E25,E18,E5,E16,E6,E26,E26,E21,E23,E23,E23,E21,E21,E21]"
0,Replica immediately deleted,"[E5,E22,E5,E5,E11,E9,E11,E9,E11,E9,E26,E26,E25,E18,E5,E6,E16,E26,E26,E23,E23,E23,E23,E21,E21,E21,E21]"
0,Replica immediately deleted,"[E5,E5,E5,E22,E11,E9,E11,E9,E11,E9,E26,E26,E25,E18,E5,E6,E16,E26,E26,E21,E23,E23,E23,E21,E21,E21]"
0,Replica immediately deleted,"[E22,E5,E5,E5,E11,E9,E11,E9,E11,E9,E26,E26,E26,E25,E18,E5,E6,E16,E26,E26,E21,E23,E23,E23,E21,E21,E21]"
0,Replica immediately deleted,"[E5,E22,E5,E5,E11,E9,E11,E9,E11,E9,E26,E26,E25,E18,E5,E6,E16,E26,E26,E21,E23,E23,E23,E21,E21,E21]"
0,Replica immediately deleted,"[E5,E22,E5,E5,E11,E9,E11,E9,E11,E9,E26,E26,E25,E18,E5,E16,E6,E26,E26,E21,E23,E23,E23,E21,E21,E21]"
0,Replica immediately deleted,"[E5,E22,E5,E5,E11,E9,E11,E9,E11,E9,E26,E26,E25,E18,E5,E16,E6,E26,E26,E23,E23,E23,E23,E21,E21,E21,E21]"
0,Replica immediately deleted,"[E5,E22,E5,E5,E11,E9,E11,E9,E11,E9,E26,E26,E25,E5,E18,E6,E16,E26,E26,E23,E23,E23,E23,E21,E21,E21,E21]"
0,Replica immediately deleted,"[E5,E5,E22,E5,E11,E9,E11,E9,E11,E9,E26,E26,E25,E18,E5,E6,E16,E26,E26,E21,E23,E23,E23,E21,E21,E21]"
0,Replica immediately deleted,"[E22,E5,E5,E5,E11,E9,E11,E9,E11,E9,E26,E26,E26,E25,E18,E5,E16,E6,E26,E26,E21,E23,E23,E23,E21,E21,E21]"
0,Replica immediately deleted,"[E5,E5,E22,E5,E11,E9,E11,E9,E11,E9,E26,E26,E25,E18,E5,E16,E6,E26,E26,E23,E23,E23,E23,E21,E21,E21,E21]"
0,Replica immediately deleted,"[E5,E5,E22,E5,E11,E9,E11,E9,E11,E9,E26,E26,E25,E18,E5,E16,E6,E26,E26,E21,E23,E23,E23,E21,E21,E21]"
